Exit Trade Id,ticker,size,entry_date,entry_price,Entry Fees,exit_date,exit_price,Exit Fees,pnl,return_pct,Direction,Status,Position Id,exit_reason
211,PNC,26.02890790523327,2022-01-13,192.09411390612817,0.0,2022-01-20,177.22523376464844,0.0,-387.02071185652767,-0.07740414237130554,Long,Closed,211,hard_stop
257,KO,74.92419568509168,2022-01-13,53.38729316243985,0.0,2022-01-21,53.809659651542454,0.0,31.64546948034831,0.007911367370087076,Long,Closed,257,regime_stop
97,KLAC,6.376736600878732,2022-01-14,401.4592667426823,0.0,2022-01-18,418.26111220065565,0.0,107.14094289416698,0.041851930818033976,Long,Closed,97,trailing_sma
342,COP,22.693125315732157,2022-01-14,72.19807660711099,0.0,2022-01-21,72.7168163660328,0.0,11.771826355465237,0.007184952609536888,Long,Closed,342,regime_stop
336,CVX,19.162947897884674,2022-01-14,106.87290968557458,0.0,2022-01-21,107.60835481447421,0.0,14.093296686856775,0.0068814925228792845,Long,Closed,336,regime_stop
86,AMAT,21.3148146874358,2022-01-14,150.130322356791,0.0,2022-01-18,147.99393798828126,0.0,-45.536636915919644,-0.014230199036224888,Long,Closed,86,trailing_sma
329,XOM,31.534541655716477,2022-01-18,62.78932830462072,0.0,2022-01-21,63.03668592987565,0.0,7.800309337460931,0.003939485131213519,Long,Closed,329,regime_stop
117,ABBV,21.12067216476767,2022-01-18,117.18570516540547,0.0,2022-01-21,114.95196070300732,0.0,-47.17818449017659,-0.019061578024770716,Long,Closed,117,regime_stop
118,ABBV,41.9941324546901,2022-01-28,117.60079262565586,0.0,2022-02-11,123.41830288171919,0.0,244.30129624964138,0.04946829120940953,Long,Closed,118,regime_stop
330,XOM,61.11757206865883,2022-01-28,64.64318650289874,0.0,2022-02-11,68.4734176942598,0.0,234.09443087763384,0.05925189333278446,Long,Closed,330,regime_stop
376,SO,54.28725084232385,2022-01-28,58.221177879333496,0.0,2022-02-10,57.991932856462896,0.0,-12.445082060930417,-0.003937485142360405,Long,Closed,376,trailing_sma
276,MO,70.49256719035236,2022-01-31,35.86951434849721,0.0,2022-02-11,35.926665936056914,0.0,4.028762126087713,0.0015933192460995235,Long,Closed,276,regime_stop
343,COP,21.598667071550405,2022-02-01,74.92415392251127,0.0,2022-02-11,79.04727732275083,0.0,89.05396961669317,0.05503063010232742,Long,Closed,343,regime_stop
296,UPS,10.963714373545137,2022-02-01,184.50200829003472,0.0,2022-02-11,180.42663258050203,0.0,-44.6812552442002,-0.022088516798832062,Long,Closed,296,regime_stop
320,RTX,15.742932487218638,2022-02-02,82.23432870610361,0.0,2022-02-11,86.6554977946168,0.0,69.60216647504126,0.05376305927314089,Long,Closed,320,regime_stop
337,CVX,9.143358204409006,2022-02-02,113.27212221239787,0.0,2022-02-11,115.27299765679662,0.0,18.2947209105439,0.01766432380111051,Long,Closed,337,regime_stop
255,PG,5.66130214311909,2022-02-03,146.35326810392587,0.0,2022-02-10,143.5983772222895,0.0,-15.596269652267097,-0.018823569280872445,Long,Closed,255,trailing_sma
258,KO,12.334193691692132,2022-02-03,53.74003950836735,0.0,2022-02-11,54.41752011087154,0.0,8.356176973650918,0.012606626431651618,Long,Closed,258,regime_stop
198,AXP,3.0107501959507594,2022-02-07,176.12621789396206,0.0,2022-02-11,185.23915849506054,0.0,27.436787700444825,0.05174096571235617,Long,Closed,198,regime_stop
289,DE,0.9541645645926803,2022-02-08,355.6767054833084,0.0,2022-02-11,372.19042090855316,0.0,15.756802088536062,0.04642900468504171,Long,Closed,289,regime_stop
171,BAC,9.604302550716245,2022-02-08,44.169541076922215,0.0,2022-02-11,43.65854228009762,0.0,-4.9077870477553915,-0.01156903115508218,Long,Closed,171,regime_stop
189,MS,2.903237208327386,2022-02-09,93.5160538311674,0.0,2022-02-11,93.48373383339174,0.0,-0.09383262011533589,-0.0003456090847674527,Long,Closed,189,regime_stop
119,ABBV,40.85960697009312,2022-02-15,123.96554482974737,0.0,2022-02-17,125.09431018376381,0.0,46.12090872656972,0.00910547648999301,Long,Closed,119,regime_stop
199,AXP,21.940925200099066,2022-02-15,184.68440663765867,0.0,2022-02-17,185.42870708195744,0.0,16.330640374759696,0.004030120668276255,Long,Closed,199,regime_stop
348,SLB,87.40724865388691,2022-02-16,37.08751220583218,0.0,2022-02-17,37.433064830663675,0.0,30.2038042016502,0.009317223083438854,Long,Closed,348,regime_stop
290,DE,6.756897341736305,2022-03-18,385.21553571106415,0.0,2022-04-11,394.1683931732999,0.0,60.49353878752436,0.023241164055623376,Long,Closed,290,regime_stop
114,LLY,18.406320044206073,2022-03-18,276.1939647918803,0.0,2022-04-11,302.2220037121028,0.0,479.08041448866607,0.0942382609259231,Long,Closed,114,regime_stop
143,BMY,55.1295146964893,2022-03-18,59.01697674039585,0.0,2022-04-11,65.5610046467757,0.0,360.76908263900395,0.11088382136492264,Long,Closed,143,regime_stop
120,ABBV,29.76533500677217,2022-03-18,136.63449805838616,0.0,2022-04-11,151.09800744626793,0.0,430.51120230389506,0.10585547276428879,Long,Closed,120,regime_stop
344,COP,23.889110388520677,2022-03-21,87.16479724560551,0.0,2022-04-11,87.96810350429342,0.0,19.190271889584892,0.00921594822763617,Long,Closed,344,regime_stop
371,DUK,18.235635279493692,2022-03-23,91.35034481567487,0.0,2022-04-11,98.76985280465239,0.0,135.2994416402837,0.08122036106101702,Long,Closed,371,regime_stop
